Date,EoT
Jan 01,-3m 41s
Jan 02,-4m 9s
Jan 03,-4m 37s
Jan 04,-5m 3s
Jan 05,-5m 30s
Jan 06,-5m 57s
Jan 07,-6m 23s
Jan 08,-6m 48s
Jan 09,-7m 13s
Jan 10,-7m 37s
Jan 11,-8m 1s
Jan 12,-8m 24s
Jan 13,-8m 47s
Jan 14,-9m 8s
Jan 15,-9m 30s
Jan 16,-9m 50s
Jan 17,-10m 10s
Jan 18,-10m 29s
Jan 19,-10m 48s
Jan 20,-11m 5s
Jan 21,-11m 23s
Jan 22,-11m 39s
Jan 23,-11m 54s
Jan 24,-12m 9s
Jan 25,-12m 23s
Jan 26,-12m 36s
Jan 27,-12m 48s
Jan 28,-12m 59s
Jan 29,-13m 10s
Jan 30,-13m 20s
Jan 31,-13m 29s
Feb 01,-13m 37s
Feb 02,-13m 44s
Feb 03,-13m 51s
Feb 04,-13m 57s
Feb 05,-14m 2s
Feb 06,-14m 6s
Feb 07,-14m 9s
Feb 08,-14m 11s
Feb 09,-14m 13s
Feb 10,-14m 14s
Feb 11,-14m 14s
Feb 12,-14m 13s
Feb 13,-14m 12s
Feb 14,-14m 10s
Feb 15,-14m 7s
Feb 16,-14m 3s
Feb 17,-13m 59s
Feb 18,-13m 54s
Feb 19,-13m 48s
Feb 20,-13m 42s
Feb 21,-13m 35s
Feb 22,-13m 27s
Feb 23,-13m 19s
Feb 24,-13m 10s
Feb 25,-13m 0s
Feb 26,-12m 50s
Feb 27,-12m 39s
Feb 28,-12m 28s
Feb 29,-12m 16s
Mar 01,-12m 16s
Mar 02,-12m 4s
Mar 03,-11m 52s
Mar 04,-11m 38s
Mar 05,-11m 25s
Mar 06,-11m 11s
Mar 07,-10m 56s
Mar 08,-10m 42s
Mar 09,-10m 27s
Mar 10,-10m 11s
Mar 11,-9m 55s
Mar 12,-9m 39s
Mar 13,-9m 23s
Mar 14,-9m 6s
Mar 15,-8m 49s
Mar 16,-8m 32s
Mar 17,-8m 15s
Mar 18,-7m 58s
Mar 19,-7m 40s
Mar 20,-7m 22s
Mar 21,-7m 4s
Mar 22,-6m 46s
Mar 23,-6m 28s
Mar 24,-6m 10s
Mar 25,-5m 52s
Mar 26,-5m 34s
Mar 27,-5m 16s
Mar 28,-4m 58s
Mar 29,-4m 40s
Mar 30,-4m 22s
Mar 31,-4m 4s
Apr 01,-3m 46s
Apr 02,-3m 28s
Apr 03,-3m 11s
Apr 04,-2m 54s
Apr 05,-2m 36s
Apr 06,-2m 19s
Apr 07,-2m 3s
Apr 08,-1m 46s
Apr 09,-1m 30s
Apr 10,-1m 14s
Apr 11,-0m 58s
Apr 12,-0m 43s
