Date and Time, Julian Day, RA (J2000), Dec (J2000), mag, phase, "dist., AU", elong.
2021-01-01 00:00:00, 2459215.50000,   18h45m38.5s, -23°01'15.6", -26.63, —, 0.983304, —
2021-01-02 00:00:00, 2459216.50000,   18h50m03.2s, -22°56'13.2", -26.63, —, 0.983297, —
2021-01-03 00:00:00, 2459217.50000,   18h54m27.6s, -22°50'43.3", -26.63, —, 0.983297, —
2021-01-04 00:00:00, 2459218.50000,   18h58m51.6s, -22°44'46.3", -26.63, —, 0.983302, —
2021-01-05 00:00:00, 2459219.50000,   19h03m15.3s, -22°38'22.1", -26.63, —, 0.983314, —
2021-01-06 00:00:00, 2459220.50000,   19h07m38.5s, -22°31'31.1", -26.63, —, 0.983331, —
2021-01-07 00:00:00, 2459221.50000,   19h12m01.4s, -22°24'13.3", -26.63, —, 0.983353, —
2021-01-08 00:00:00, 2459222.50000,   19h16m23.7s, -22°16'29.1", -26.63, —, 0.983381, —
2021-01-09 00:00:00, 2459223.50000,   19h20m45.6s, -22°08'18.6", -26.63, —, 0.983412, —
2021-01-10 00:00:00, 2459224.50000,   19h25m06.9s, -21°59'42.0", -26.63, —, 0.983448, —
2021-01-11 00:00:00, 2459225.50000,   19h29m27.8s, -21°50'39.6", -26.63, —, 0.983488, —
2021-01-12 00:00:00, 2459226.50000,   19h33m48.0s, -21°41'11.7", -26.63, —, 0.983532, —
2021-01-13 00:00:00, 2459227.50000,   19h38m07.6s, -21°31'18.5", -26.63, —, 0.983580, —
2021-01-14 00:00:00, 2459228.50000,   19h42m26.6s, -21°21'00.3", -26.63, —, 0.983630, —
2021-01-15 00:00:00, 2459229.50000,   19h46m45.0s, -21°10'17.4", -26.63, —, 0.983685, —
2021-01-16 00:00:00, 2459230.50000,   19h51m02.7s, -20°59'10.1", -26.63, —, 0.983743, —
2021-01-17 00:00:00, 2459231.50000,   19h55m19.7s, -20°47'38.8", -26.63, —, 0.983805, —
2021-01-18 00:00:00, 2459232.50000,   19h59m36.0s, -20°35'43.7", -26.63, —, 0.983872, —
2021-01-19 00:00:00, 2459233.50000,   20h03m51.5s, -20°23'25.2", -26.63, —, 0.983942, —
2021-01-20 00:00:00, 2459234.50000,   20h08m06.3s, -20°10'43.7", -26.63, —, 0.984017, —
2021-01-21 00:00:00, 2459235.50000,   20h12m20.3s, -19°57'39.4", -26.63, —, 0.984097, —
2021-01-22 00:00:00, 2459236.50000,   20h16m33.6s, -19°44'12.9", -26.63, —, 0.984182, —
2021-01-23 00:00:00, 2459237.50000,   20h20m46.1s, -19°30'24.3", -26.63, —, 0.984271, —
2021-01-24 00:00:00, 2459238.50000,   20h24m57.8s, -19°16'14.2", -26.63, —, 0.984366, —
2021-01-25 00:00:00, 2459239.50000,   20h29m08.6s, -19°01'42.8", -26.63, —, 0.984467, —
2021-01-26 00:00:00, 2459240.50000,   20h33m18.7s, -18°46'50.6", -26.63, —, 0.984573, —
2021-01-27 00:00:00, 2459241.50000,   20h37m28.0s, -18°31'37.9", -26.63, —, 0.984685, —
2021-01-28 00:00:00, 2459242.50000,   20h41m36.4s, -18°16'05.1", -26.63, —, 0.984803, —
2021-01-29 00:00:00, 2459243.50000,   20h45m44.1s, -18°00'12.6", -26.63, —, 0.984926, —
2021-01-30 00:00:00, 2459244.50000,   20h49m50.9s, -17°44'00.7", -26.63, —, 0.985056, —
2021-01-31 00:00:00, 2459245.50000,   20h53m56.9s, -17°27'29.9", -26.63, —, 0.985192, —
